Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
114,Ivica Zubac,28,2TM,C,48,47,30.1,6.0,10.0,.598,0.0,0.0,,6.0,10.0,.598,.598,2.1,3.0,.711,3.4,7.2,10.6,2.2,0.4,0.8,1.8,2.3,14.1,,zubaciv01
114,Ivica Zubac,28,LAC,C,43,42,30.9,6.1,10.0,.613,0.0,0.0,,6.1,10.0,.613,.613,2.2,3.1,.705,3.4,7.6,11.0,2.2,0.4,0.8,1.9,2.4,14.4,,zubaciv01
114,Ivica Zubac,28,IND,C,5,5,23.6,5.0,10.6,.472,0.0,0.0,,5.0,10.6,.472,.472,1.6,2.0,.800,2.8,4.4,7.2,1.8,0.4,0.8,0.8,1.6,11.6,,zubaciv01
115,Santi Aldama,25,MEM,PF,43,11,27.9,5.3,11.1,.479,1.6,4.7,.350,3.7,6.4,.572,.553,1.8,2.7,.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14.0,,aldamsa01
116,Jeremiah Fears,19,NOP,PG,81,48,25.6,5.2,12.1,.435,1.2,3.7,.336,4.0,8.4,.479,.486,2.2,2.9,.784,0.7,2.9,3.6,3.4,1.2,0.4,2.2,1.8,14.0,,fearsje01
117,Keegan Murray,25,SAC,PF,23,22,34.5,5.5,13.0,.420,1.3,4.9,.277,4.1,8.2,.505,.472,1.7,2.1,.776,1.4,4.3,5.7,1.7,1.0,1.6,1.2,1.8,14.0,,murrake02
118,Brandin Podziemski,22,GSW,SG,81,42,28.5,4.8,10.6,.457,1.9,5.0,.371,3.0,5.5,.535,.545,2.3,3.0,.795,0.9,4.2,5.1,3.7,1.1,0.2,1.6,1.7,13.9,,podzibr01
119,Ace Bailey,19,UTA,SF,71,60,27.6,5.5,12.3,.445,1.9,5.5,.350,3.5,6.8,.523,.524,0.9,1.2,.767,1.4,2.8,4.2,1.8,0.8,0.7,1.5,2.7,13.8,,baileac01
120,Aaron Nesmith,26,IND,SF,45,42,29.7,4.7,11.4,.414,2.3,6.2,.379,2.4,5.2,.455,.517,2.0,2.5,.829,1.1,3.1,4.2,1.9,0.6,0.5,1.4,2.8,13.8,,nesmiaa01
121,Devin Vassell,25,SAS,SG,66,64,30.5,4.9,11.2,.435,2.5,6.4,.384,2.4,4.8,.503,.545,1.6,1.9,.813,0.6,3.5,4.0,2.5,0.8,0.4,0.9,1.6,13.8,,vassede01
